"GEO_ID","NAME","C03002_001E","C03002_001M","C03002_002E","C03002_002M","C03002_003E","C03002_003M","C03002_004E","C03002_004M","C03002_005E","C03002_005M","C03002_006E","C03002_006M","C03002_007E","C03002_007M","C03002_008E","C03002_008M","C03002_009E","C03002_009M","C03002_010E","C03002_010M","C03002_011E","C03002_011M","C03002_012E","C03002_012M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino"
"1600000US3345140","Manchester city, New Hampshire","112529","27","100495","2250","82347","2727","7424","1988","57","105","7304","1635","0","192","38","67","3325","1322","83","141","3242","1303","12034","2252"
"1600000US2621000","Dearborn city, Michigan","94325","31","91426","1001","83368","2065","2019","1147","474","513","2646","935","0","172","549","783","2370","1106","134","132","2236","1108","2899","1005"
"1600000US3775000","Winston-Salem city, North Carolina","246334","38","207208","2616","110864","3873","82733","4754","190","188","6721","1587","1307","1929","370","548","5023","1727","265","315","4758","1695","39126","2617"
"1600000US2706382","Blaine city, Minnesota","65215","24","60518","1902","47198","3371","5425","2088","294","276","5517","2058","0","147","0","147","2084","1093","416","692","1668","1051","4697","1902"
"1600000US0647766","Milpitas city, California","80424","35","69900","3429","7864","2005","3811","3520","46","83","53953","4092","0","211","0","211","4226","1844","355","551","3871","1791","10524","3429"
"1600000US1216475","Davie town, Florida","106565","43","59246","5264","46708","4923","5188","2970","143","246","4840","1848","0","229","497","559","1870","1131","0","229","1870","1131","47319","5261"
"1600000US4841980","League City city, Texas","106188","2258","85756","4532","64461","3933","11453","3774","145","208","6445","1711","0","228","706","717","2546","1089","0","228","2546","1089","20432","3697"
"1600000US0636000","Huntington Beach city, California","200658","74","160510","5259","120456","5465","2598","1196","351","269","26950","3805","1035","1395","754","777","8366","3039","182","212","8184","3008","40148","5261"
"1600000US2758000","St. Paul city, Minnesota","307701","39","281620","2735","159782","4848","44572","3780","2590","764","59395","3876","86","109","1241","941","13954","2819","710","953","13244","2544","26081","2734"
"1600000US0524550","Fort Smith city, Arkansas","87851","28","70523","896","53451","1625","8449","942","641","390","4910","1334","0","201","0","201","3072","991","0","201","3072","991","17328","894"
"1600000US3410000","Camden city, New Jersey","73968","27","34522","3982","3954","1520","27333","3683","128","235","1288","1051","0","210","1280","1757","539","494","0","210","539","494","39446","3978"
